pharmacy_name,city,phone,website,email
CARE FIRST PHARMACY,Burnaby,(604) 553-8611,https://carefirstpharmacyburnaby.ca/,carefirstpharmacyltd@gmail.com
CARECO'S PHARMACY,Maple Ridge,(778) 375-6299,https://carecospharmacy.ca/,carecospharmacy@gmail.com
CAREMED PHARMACY,Victoria,(250) 380-2212,https://www.caremedpharmacy.ca/,caremedvictoria@outlook.com
CASCADE PHARMACY,Chilliwack,(604) 795-6122,https://www.cascadepharmacy.ca/,info@cascadepharmacy.ca
CEDAR VALLEY PHARMACY,Mission,1-866-287-7929,https://cedarvalleypharmacy.ca/,info@cedarvalleypharmacy.ca
CEDAR VALLEY PHARMACY - CENTRAL FILL,Vancouver,(604) 566-1517,https://cedarvalleypharmacy.ca/,vancouver@cedarvalleypharmacy.ca
CHIEF LOUIS PHARMACY LTD.,Kamloops,(778) 943-1640,https://www.chieflouispharmacy.ca,info@chieflouispharmacy.ca
CHILLIWACK PHARMACY,Chilliwack,(604) 402-3100,https://www.chilliwackpharmacy.ca/,chilliwackpharmacy@gmail.com
CLAYTON HEIGHTS CARE FIRST PHARMACY,Surrey,(604) 510-3549,https://carefirstpharmacy.ca/,info@carefirstpharmacy.ca
CLOUD PHARMACY,Vancouver,(604) 558-1690,https://www.canadacloudpharmacy.com/,orders@canadacloudpharmacy.com
COAL HARBOUR PHARMACY,Vancouver,(604) 336-3038,https://coalharbourpharmacy.com/,info@coalharbourpharmacy.ca
COASTAL CARE PHARMACY,Surrey,(604) 588-0484,https://coastalcarepharmacy.ca/,compounding@coastalcarepharmacy.ca
COASTAL CARE PHARMACY #2,Surrey,(604) 589-9064,https://coastalcarepharmacy.ca/,compounding@coastalcarepharmacy.ca
COASTAL CARE PHARMACY #3,Surrey,(604) 283-9002,https://coastalcarepharmacy.ca/,compounding@coastalcarepharmacy.ca
COASTAL CARE PHARMACY #4,Surrey,(236) 607-0531,https://coastalcarepharmacy.ca/,compounding@coastalcarepharmacy.ca
COLLINGWOOD PHARMACY,Vancouver,(604) 428-6455,https://idacollingwood.ca/,shop@idacollingwood.ca
COLUMBIA ST. PHARMACY,Kamloops,(778) 471-5971,https://www.columbiastreetpharmacy.ca/,rx.columbiastreetpharmacy@gmail.com
COMMON GOOD PHARMACY,Westbank,(778) 795-0529,https://commongoodpharmacy.ca/,chris@commongoodpharmacy.ca
COMMON GOOD PHARMACY - SUMMERLAND,Summerland,(250) 404-0913,https://commongoodpharmacy.ca/,chris@commongoodpharmacy.ca
COMMUNITY APOTHECARY,Burnaby,(604) 757-1254,https://www.communityapothecary.ca/,communityapothecary@gmail.com
COMOX VALLEY PHARMACY,Comox,(250) 941-6685,https://comoxvalleypharmacy.ca/,info@comoxvalleypharmacy.ca
CRC CARE@HOME PHARMACY,Richmond,(604) 370-1001,https://crccareathome.ca/,crccarehome@gmail.com
CRESCENT PHARMACY INTEGRATIVE HEALTH CENTRE,Richmond,(604) 370-8875,https://crescentpharmacy.ca/,info@crescentpharmacy.ca
CRIDGE FAMILY PHARMACY 3,Victoria,(250) 590-8711,https://www.cridgepharmacy.com/,lily@cridgepharmacy.com
CRIDGE FAMILY PHARMACY 4,Victoria,(250) 940-0223,https://www.cridgepharmacy.com/,lily@cridgepharmacy.com
CROFTON PHARMACY,Crofton,(250) 324-5554,https://croftonpharmacy.com/,info@croftonpharmacy.com
CUSTOM HEALTH PHARMACY CHILLIWACK,Chilliwack,(604) 402-4555,https://customhealth.com/locations/custom-health-pharmacy-chilliwack.html,info@customhealth.com
CUSTOM HEALTH PHARMACY LANGLEY,Langley,(604) 609-4111,https://customhealth.com/locations/custom-health-pharmacy-langley.html,info@customhealth.com
DAVIE PHARMACY,Vancouver,(604) 559-9952,https://www.daviepharmacy.ca/,info@daviepharmacy.ca
DAVIES PRESCRIPTIONS - ST. GEORGES,North Vancouver,(604) 985-8771,https://daviespharmacy.com/,pharmacy@daviesrx.com
DEEP COVE PHARMACY,North Vancouver,(604) 985-3539,https://www.deepcovepharmacy.com/,deepcovepharmacy@gmail.com
DRUGLAND PHARMACY,Burnaby,(604) 636-0666,https://www.druglandpharmacy.ca/,druglandpharmacy@gmail.com
DUNCAN PHARMACY,Duncan,250-597-4100,https://duncanpharmacy.com,info@duncanpharmacy.com
DUNDAS PHARMACY,Vancouver,(778) 379-5095,https://www.dundaspharmacyrx.com,dundas.pharmacy@yahoo.com
ELEMENTS COMPOUNDING PHARMACY,Victoria,(250) 590-6777,https://www.elementspharmacy.ca/,info@elementspharmacy.ca
ELYSIAN PHARMACY LTD.,Surrey,(604) 256-4132,https://www.elysianhealth.ca/,info@elysianhealth.ca
EVERWELL PHARMACY,Vancouver,(604) 563-8282,https://everwellpharmacy.com/,everwellpharmacy@gmail.com
EXPRESS SCRIPTS CANADA PHARMACY,Burnaby,1-855-550-6337,https://pharmacy.express-scripts.ca/,memberinfo@express-scripts.com
FERNIE'S PHARMACY,Fernie,(250) 430-0525,https://ferniespharmacy.ca/,ferniepharmacy@gmail.com
FINLANDIA NATURAL PHARMACY,Vancouver,(604) 733-5323,https://finlandiahealthstore.com/,pharmacist@finlandiapharmacy.com
FIVE CORNERS PHARMACY,White Rock,(778) 545-3700,https://bettermepharmacy.ca/,info@BetterMePharmacy.ca
FORBES PHARMACY - HELMCKEN,Victoria,(778) 265-8181,https://www.forbespharmacy.ca/,helmcken@forbespharmacy.ca
FORT ROYAL PHARMACY,Victoria,(250) 590-3707,https://www.fortroyalpharmacy.ca/,info@fortroyalpharmacy.ca
FORT ROYAL PHARMACY COLWOOD INC.,Victoria,(250) 474-0605,https://www.fortroyalpharmacy.ca/,info@fortroyalpharmacy.ca
FORT ROYAL PHARMACY HILLSIDE INC.,Victoria,(778) 406-2022,https://www.fortroyalpharmacy.ca/,info@fortroyalpharmacy.ca
FORT ROYAL PHARMACY OAK BAY,Victoria,(250) 590-9217,https://www.fortroyalpharmacy.ca/,info@fortroyalpharmacy.ca
FORT ST. JOHN PHARMACY AND WELLNESS CENTRE,Fort St. John,(250) 785-3234,https://www.fsjpharmacy.com/,fsjpharm@teampractice.ca
FRASER HEIGHTS PHARMACY LTD.,Surrey,(604) 930-9544,https://www.fraserheightspharmacy.ca/,info@fraserheightspharmacy.ca
FRASERGROVE PHARMACY,Aldergrove,(604) 381-5981,https://frasergrovepharmacy.com/,frasergrovepharmacy@gmail.com
FRASERWAY MEDICINE CENTRE,Abbotsford,(604) 504-2022,https://www.fraserwaypharmacy.com,rx@fraserwaypharmacy.com
FRENCH CREEK PHARMACY,Parksville,(250) 586-6212,https://www.frenchcreekpharmacy.ca,frenchcreekpharmacy@gmail.com
GARIBALDI PHARMACY,Squamish,(604) 848-7059,https://garibaldipharmacy.com/,pharmacist@garibaldipharmacy.com
GILMORE PHARMACY,Burnaby,(604) 568-8383,https://gilmorepharmacy.ca/,info@gilmorepharmacy.ca
GLEN PHARMACY,Coquitlam,(604) 944-5500,https://www.glenpharmacy.ca/,glenpharmacy@gmail.com
GORDON HEAD PHARMACY,Victoria,(250) 590-0557,https://www.gordonheadpharmacy.ca/,pharmacy1660@gmail.com
GRAY'S COMPOUNDING PHARMACY,Kimberley,(250) 427-0038,https://grayspharmacy.ca/,pharmacist@grayspharmacy.ca
GREEN PHARMACY,Coquitlam,(236) 607-0018,https://onemedicalclinic.com/pharmacy/,bcgreenpharmacy@gmail.com
GROVE PHARMACY,Langley,(778) 298-1000,https://www.grovepharmacylangley.com/,rx@grovepharmacylangley.com
H&J FAMILY PHARMACY,Langford,(250) 242-2323,https://hjpharmacy.ca/,hello@hjpharmacy.ca
HAFEZ PHARMACY AND TRAVEL CLINIC,Abbotsford,(604) 852-8355,https://hafezpharmacy.ca/,Info@hafezpharmacy.ca
HARBOURVIEW DRUGSTORE,Ucluelet,(250) 726-2733,https://www.harbourviewdrugstore.com/,harbourviewdrugstore@gmail.com
HARVEST DRIVE PHARMACY,Delta,(604) 946-5220,https://www.harvestdrivepharmacy.ca/,harvestdrivepharmacy@gmail.com
HEALING PHARMACY,Burnaby,(604) 420-0756,https://www.healingpharmacy.net,healingpharmacy@outlook.com
HEALING PHARMACY #2,Burnaby,(236) 453-1186,https://www.healingpharmacy.net,healingpharmacy@outlook.com
HEALTHRX PHARMACY,North Vancouver,(604) 770-1609,https://www.healthrxpharmacy.ca,healthrx.pharmacy@yahoo.com
HELLO PHARMACY #3301,Vancouver,(778) 606-7873,https://hellopharmacy.ca/,HelloRX3301@hellopharmacy.ca
HELLO PHARMACY #3302,Merritt,(236) 575-2273,https://hellopharmacy.ca/,HelloRX3302@hellopharmacy.ca
HERITAGE PARK PHARMACY,Mission,(604) 289-2447,https://www.heritageparkpharmacy.com/,info@heritageparkpharmacy.com
HERITAGE PHARMACY,Chilliwack,(604) 824-5300,https://heritagepharmacy.ca/,pharmacist@heritagepharmacy.ca
HOGARTH'S CLINIC PHARMACY LTD.,Vernon,(250) 545-3660,https://www.hogarths.ca/,info@hogarths.ca
HOMELINX PHARMACY,Surrey,(604) 503-6470,https://www.homelinxpharmacy.com/,homelinxrx@gmail.com
HUB PHARMACY,Abbotsford,(604) 556-8515,https://hubpharmacy.care/,pharmacy@hubpharmacy.care
IDEAL CARE PHARMACY,Vancouver,(604) 757-1530,https://idealcarepharmacy.ca/,idealcarepharmacy.bc@gmail.com
IMPERIAL NEIGHBOURHOOD PHARMACY,Burnaby,(604) 428-9647,https://www.impharmacy.ca/,imneighbourpharm@gmail.com
IMPERIAL REMEDY'S RX PHARMACY,Burnaby,(604) 229-2360,https://imperialremedysrx.ca/,info@imperialremedysrx.ca
INDIGICARE MEDICINES LTD.,Vancouver,(236) 521-9449,https://www.lnhs.ca/pharmacy,Contact@Lumaindigicare.ca
INDIGO PHARMACY MID-MAIN,Vancouver,(604) 423-2882,https://indigopharmacy.ca/,midmain@indigopharmacy.ca
INGRAM CLINIC PHARMACY,Duncan,(250) 746-5191,https://ingrampharmacy.ca/,ingrampharmacyonline@gmail.com
INLET PHARMACY LTD.,Port Moody,(604) 937-2818,https://www.inletpharmacy.ca/,info@inletpharmacy.ca
ISLAND PHARMACY,Gabriola Island,(250) 247-8310,https://islandpharmacy.ca/island-pharmacy-gabriola-island-bc/,gabriola@islandpharmacy.ca
ISLAND PHARMACY # 1,Lake Cowichan,(250) 749-3141,https://islandpharmacy.ca/island-pharmacy-southshore-lake-cowichan-bc/,lakecowichan@islandpharmacy.ca
ISLAND PHARMACY # 2,Lake Cowichan,(250) 749-0149,https://islandpharmacy.ca/island-pharmacy-village-lake-cowichan-bc/,village@islandpharmacy.ca
ISLAND PHARMACY # 3,Duncan,(250) 746-7494,https://islandpharmacy.ca/island-pharmacy-festubert-duncan-bc/,festubert@islandpharmacy.ca
ISLAND PHARMACY # 4,Duncan,(250) 746-4680,https://islandpharmacy.ca/island-pharmacy-kenneth-duncan-bc/,kenneth@islandpharmacy.ca
ISLAND PHARMACY # 6,Cobble Hill,(250) 743-1448,https://islandpharmacy.ca/island-pharmacy-valleyview-cobble-hill-bc/,valleyview@islandpharmacy.ca
ISLAND PHARMACY # 7,Shawnigan Lake,(250) 743-6977,https://islandpharmacy.ca/island-pharmacy-shawnigan-lake-shawnigan-lake-bc/,shawniganlake@islandpharmacy.ca
ISLAND PHARMACY # 8,Mill Bay,(250) 743-4421,https://islandpharmacy.ca/island-pharmacy-mill-bay-mill-bay-bc/,millbay@islandpharmacy.ca
ISLAND PHARMACY #10,Victoria,(250) 881-8887,https://islandpharmacy.ca/island-pharmacy-view-royal-view-royal-bc/,viewroyal@islandpharmacy.ca
ISLANDCARE PHARMACY,Courtenay,(250) 871-9090,https://islandcarepharmacy.ca/,info@islandcarepharmacy.ca
JC PHARMACY,Victoria,(250) 590-9080,https://jcpharmacy.ca/,info@jcpharmacy.ca
JC PHARMACY - 02,Victoria,(250) 940-7466,https://jcpharmacy.ca/,jc2@jcpharmacy.ca
JUNIPER PHARMACY,Kelowna,(250) 762-7306,https://juniperrx.ca/,info@juniperrx.ca
KAMA HEALTH PHARMACY,Surrey,1-888-533-9842,https://kamahealth.ca/,info@kamahealth.ca
KERRISDALE MEDICINE CENTRE PHARMACY,Vancouver,(604) 261-0333,https://www.kerrisdalepharmacy.com/,info@kerrisdalepharmacy.com
KIPP-MALLERY LANDMARK PHARMACY,Kamloops,(236) 425-0025,https://kippmallery.ca/,info@kippmallery.ca
KIPP-MALLERY PHARMACY,Kamloops,(250) 372-2531,https://kippmallery.ca/,info@kippmallery.ca
KIWI PHARMACY & WELLNESS,Kelowna,(778) 940-1950,https://www.kiwihealth.ca/,pharmacy@kiwihealth.ca
KNIGHTS PHARMACY,Penticton,(250) 492-8080,https://www.knightspharmacy.ca/,info@knightspharmacy.ca
KNIGHTS PHARMACY KELOWNA,Kelowna,(778) 940-4222,https://www.knightspharmacy.ca/,kelowna@knightspharmacy.ca
KRIPPS HEALTHCARE RX,Vancouver,(604) 687-2564,https://krippspharmacy.com/,altermed@portal.ca
LAFARGE PHARMACY,Coquitlam,(604) 474-0769,https://lafargepharmacy.ca/,lafargepharmacy@gmail.com
LAKESIDE MEDICINE CENTRE,Kelowna,(250) 860-3100,https://www.lakesidepharmacy.ca/,rx@lakesidepharmacy.ca
LALLICARE PHARMACY,Victoria,(250) 386-5100,https://lallicare.ca/,sukhi@lallicare.ca
LANGLEY TOWNSHIP PHARMACY & COMPOUNDING,Langley,(604) 532-2176,https://www.townshippharmacy.ca/,pharmacist@townshippharmacy.ca
LAUREL PRESCRIPTIONS,Vancouver,(604) 873-5511,https://laurelprescriptions.com/,info@laurelprescriptions.com
LIFECARE PHARMACY,Coquitlam,(604) 937-5413,https://lifecarerx.ca,info@lifecarerx.ca
LIFECARE PHARMACY #2,New Westminster,(604) 515-0413,https://lifecarerx.ca,info@lifecarerx.ca
LIFECONNECT PHARMACY,Surrey,(604) 372-0912,https://www.lifeconnectpharmacy.com,lifeconnectpharmacy@gmail.com
LIFECONNECT PHARMACY #2,Surrey,(604) 245-4050,https://www.lifeconnectpharmacy.com,lifeconnectrx@gmail.com
LIFECONNECT PHARMACY #3,Surrey,(778) 366-2993,https://www.lifeconnectpharmacy.com,lifeconnectpharmacy3@gmail.com
LINCOLN PHARMACY & COQUITLAM TRAVEL CLINIC,Coquitlam,(604) 464-1033,https://www.lincolnpharmacy.ca,LincolnPharmacyBC@gmail.com
LOCK'S PRESCRIPTION PHARMACY LTD.,Chilliwack,(604) 795-9488,https://www.lockspharmacy.ca/,info@lockspharmacy.ca
LONGEVITY COMPOUNDING PHARMACY,New Westminster,(604) 544-7760,https://longevitypharmacy.ca/,aman@longevitypharmacy.ca
LONSDALE PHARMACY,North Vancouver,(604) 985-1901,https://www.lonsdalepharmacy.com/,pharmacist@lonsdalepharmacy.com
LUMBY I.D.A. PHARMACY,Lumby,(250) 547-2324,https://lumbyidapharmacy.com,lumbyidapharmacy@gmail.com
MACDONALD'S PRESCRIPTIONS #3,Vancouver,(604) 738-0733,https://macdonaldsprescriptions.ca/,pharmacy@macrx3.com
MACDONALD'S PRESCRIPTIONS #4,Vancouver,(604) 734-4311,https://macdonaldsprescriptions.com/,info@macdonaldsprescriptions.com
MACDONALD'S PRESCRIPTIONS LTD.,Vancouver,(604) 872-2662,https://www.macdonaldsrx.com/,pharmacy@macdonaldsrx.com
MACDONALD'S PRESCRIPTIONS RENAL PHARMACY,Vancouver,(604) 872-4200,https://www.macdonaldsrx.com,renal@macdonaldsrx.com
MANSHADI PHARMACY,Kamloops,(250) 372-2223,https://www.manshadipharmacy.com,laura@manshadipharmacy.com
MANSHADI PHARMACY #2,Kamloops,(250) 434-2526,https://www.manshadipharmacy.com,missagh@manshadipharmacy.com
MAPLE MEADOWS PHARMACY,Maple Ridge,(604) 380-4345,https://maplemeadowshealth.ca,Maplemeadowsrx@gmail.com
MARINE DRIVE PHARMACY,North Vancouver,(778) 340-9308,https://mdpharmasave.ca,Info@MDPharmasave.ca
MARKS PHARMACY,Delta,(604) 596-1774,https://www.markspharmacydelta.com/,marksdelta@shaw.ca
MARMAR PHARMACY,Vancouver,(604) 605-0211,https://marmarpharmacy.care/,marmarpharmacy7@gmail.com
MEADOWCURE PHARMACY + COFFEE,Langford,(778) 557-0103,https://www.meadowcurepharmacy.ca/,slava@meadowcurepharmacy.ca
MEDICAL CENTRE PHARMACY,Vancouver,(604) 682-4321,https://denmanmedicalcentre.com/,denmanmedicalcentre@gmail.com
MEDICAL TOWER DRUGS LTD.,Abbotsford,(604) 859-7651,https://www.medicaltowerdrugs.com/,mtdrugs@telus.net
MEDIGLEN PHARMACY,Coquitlam,(778) 285-8811,https://www.mediglenpharmacy.com/,mediglenrx@gmail.com
MEDIMIX PHARMACY,Langley,(778) 366-3530,https://medimixrx.com/,medimixrx@gmail.com
MEDIPHARM PHARMACY,Vancouver,(604) 336-3144,https://medipharmbc.ca/,info@medipharmbc.ca
MEDIS PHARMACY,Port Coquitlam,(604) 944-5544,https://themedispharmacy.ca/,medis.pharmacy@outlook.com
MEDMIX COMPOUNDING PHARMACY,Langley,(778) 366-4554,https://mymedmix.ca/,pharmacy@mymedmix.ca
MEDNOW PHARMACY,Vancouver,(604) 876-6410,https://mednow.ca/,pharmacy-privacy@mednow.ca
MED-X PHARMACY LTD.,Port Coquitlam,(604) 474-3050,https://medxpharmacy.ca/,pharmacist@medxpharmacy.ca
MEDZONE METTRA PHARMACY,Vancouver,(604) 900-9569,https://medzonemettrapharmacy.com/,order@medzonemettrapharmacy.com
METCHOSIN PHARMACY,Victoria,(778) 265-0122,https://www.langfordpharmacy.com/metchosin-pharmacy/,metchosinpharmacy@gmail.com
METROLIFE PHARMACY,Surrey,(604) 951-2011,https://metrolifepharmacy.com/,metrolifepharmacy@gmail.com
METTRA PHARMACY DUNCAN,Duncan,(250) 748-0104,https://www.mymettra.ca/,mymettra@gmail.com
MID-ISLAND PHARMACY,Parksville,(250) 757-0779,https://www.midislandpharmacy.com/,info@midislandpharmacy.com
MIRACLE PRESCRIPTIONS REMEDY'SRX,North Vancouver,(604) 770-2030,https://miracleprescriptions.com/,info@miracleprescriptions.com
MJ'S NATURAL PHARMACY,Vancouver,(604) 323-1293,https://www.mjspharmacy.com/,info@mjspharmacy.com
MJ'S NATURAL PHARMACY #3,Richmond,(604) 232-1293,https://www.mjspharmacy.com/,info@mjspharmacy.com
MJ'S NATURAL PHARMACY NO. 2,Vancouver,(604) 324-1293,https://www.mjspharmacy.com/,info@mjspharmacy.com
MONTROSE PHARMACY,Abbotsford,(604) 621-0843,https://montrosepharmacy.ca/,pharmacymontrose@gmail.com
MOUNTAIN & PESTLE PHARMACY,Kimberley,(250) 432-1317,https://www.mountainpestle.com/,info@mountainpestle.com
NANAIMO COMPOUNDING PHARMACY,Nanaimo,(250) 755-6365,https://nanaimocompounding.com/,trdrugsltd@gmail.com
NATURE'S COMPOUNDING PHARMACY,Langley,(604) 888-2895,https://naturescompounding.com/,naturescompounding@gmail.com
NELSON REMEDY'SRX,Nelson,(250) 352-0022,https://nelsonremedys.ca/,nelsonremedys@gmail.com
NEW ERA PHARMACY,White Rock,(778) 357-3474,https://newerapharmacy.ca/,info@newerapharmacy.ca
NORTHMOUNT PHARMACY LTD.,North Vancouver,(604) 985-8241,https://www.northmountpharmacy.ca/,info@northmountpharmacy.ca
NORTHSHORE DRUGSTORE,North Vancouver,(604) 770-3299,https://northshoredrugstore.com/,pharmexenco@gmail.com
NOVARA WELLNESS PHARMACY,Vancouver,(604) 875-6625,https://novarapharmacy.ca/,novarapharmling@gmail.com
OASES HEALTH PHARMACY #1,Vancouver,(604) 254-4633,https://oaseshealth.ca/,info@oaseshealth.ca
OKANAGAN PHARMACY,Peachland,(250) 767-2911,https://www.okanaganpharmacy.ca/,info@okanaganpharmacy.ca
OMNIA SPECIALTY PHARMACY,Abbotsford,(604) 776-3377,https://omniarx.ca/locations/abbotsford/,gardenpark@omniarx.ca
OPTIMA PHARMACY,Surrey,(604) 593-6113,https://optimapharmacy.ca/,info@optimapharmacy.ca
OVAL INTEGRATIVE PHARMACY,Richmond,(604) 838-9123,https://www.ovalpharmacy.ca/,info@ovalpharmacy.ca
OXFORD PHARMACY,Port Coquitlam,(604) 945-9591,https://oxfordpharmacies.ca/,oxfordpharmacyrx@gmail.com
PACIFIC PHARMACY #1,Surrey,(604) 590-0399,https://pacificpharmacy.ca,info@pacificpharmacy.ca
PACIFIC PHARMACY #2,Delta,(778) 578-6900,https://pacificpharmacy.ca,info@pacificpharmacy.ca
PACIFIC PHARMACY #4,White Rock,(604) 232-9557,https://pacificpharmacy.ca,info@pacificpharmacy.ca
PARK WEST PHARMACY,North Vancouver,(236) 551-2260,https://www.parkwestpharmacy.ca,parkwestpharmacyinfo@gmail.com
PARTNERSHIP RX,Surrey,(888) 588-2605,https://www.partnershiprx.com/,support@partnershiprx.com
PEACE PHARMACY,Fort St. John,(250) 785-1140,https://peacepharmacy.ca/,peacepharmacy@pharmachoice.ca
PEACHLAND PHARMACY,Peachland,(250) 767-2611,https://www.peachlandpharmacy.com/,peachlandpharmacy@shaw.ca
PEERCONNECT PHARMACY,Richmond,(604) 207-2222,https://peerconnectpharmacy.ca/,peerconnectpharmacy@gmail.com
PHARMACISTS CLINIC,Vancouver,(604) 827-2584,https://pharmsci.ubc.ca/pharmacists-clinic,pharmacists.clinic@ubc.ca
PHARMACY APOTEKA,Burnaby,(604) 526-7778,https://apotekapharmacy.care/,apotekapharmacy@gmail.com
PHARMALIFE PHARMACY,North Vancouver,(778) 340-1800,https://www.pharmalifepharmacy.com/,info@PharmalifePharmacy.com
PHARMAPLUS RX,Vancouver,(778) 331-3847,https://www.pharmaplusrx.ca/,info@pharmaplusrx.ca
PILL4ME,Chilliwack,604-705-3644,https://www.pill4.me/,hello@pill4.me
PILLARS PHARMACY,Penticton,(250) 488-9360,https://pillarsrx.ca/,info@PillarsRx.ca
PILLOSOPHY PHARMACY,Vancouver,(236) 521-2262,https://pillosophypharmacy.ca,info@pillosophypharmacy.ca
PILLWAY,Delta,1 (833) 745-5929,https://www.pillway.com,hello@pillway.com
PINETREE PHARMACY,Coquitlam,(604) 474-4977,https://pinetreepharmacy.com,pharmacist@pinetreepharmacy.com
PINNACLE PHARMACY,Nanaimo,(250) 585-1980,https://pinnaclepharmacy.ca,deryn@pinnaclepharmacy.ca
PIVOT RX,Vernon,(250) 503-1344,https://www.pivotrx.ca,info@pivotrx.ca
PIVOT RX 2,Kamloops,(250) 376-0358,https://www.pivotrx.ca,info@pivotrx.ca
PIX PHARMACY,Surrey,(888) 244-8998,https://pixpharmacy.com,support@pixpharmacy.com
PLANET HEALTH PHARMACY,Abbotsford,(604) 743-1695,https://planethealthpharmacy.ca,planethealthpharmacy24@gmail.com
PLATINUM CARE PHARMACY,Surrey,(604) 385-0188,https://platinumcarepharmacy.com,platinumcarepharmacy@gmail.com
PLITIO,North Vancouver,(778) 279-3901,https://plitio.com,info@plitio.com
POCKETPILLS PHARMACY,Surrey,(855) 950-7225,https://www.pocketpills.com,care@pocketpills.com
PRATT'S COMPOUNDING PHARMACY INC.,Kamloops,(250) 374-7226,https://prattscompoundingpharmacy.com,prattspharmacy@gmail.com
PRO-HEALTH PHARMACY #2,Chilliwack,(604) 845-8084,https://pro-health.ca/,pharmacist@pro-health.ca
PRO-HEALTH PHARMACY #3,Saanichton,(250) 544-5222,https://pro-health.ca/,marigold@pro-health.ca
PROSPER PHARMACY 24,Surrey,(604) 543-6677,https://prosperpharmacy.ca/,prosper@pharmacy24.ca
PULSE PHARMACY,Surrey,(236) 477-4362,https://pulsemedpharmacy.ca/,pulsepharmacy64@gmail.com
PURE INTEGRATIVE PHARMACY # 1,Surrey,(604) 542-7780,https://purepharmacy.com/,contact@purepharmacy.com
PURE INTEGRATIVE PHARMACY # 4,Vancouver,(604) 733-7211,https://purepharmacy.com/,contact@purepharmacy.com
PURE INTEGRATIVE PHARMACY # 5,Vancouver,(604) 568-8844,https://purepharmacy.com/,contact@purepharmacy.com
PURE INTEGRATIVE PHARMACY # 9,Vancouver,(604) 681-8190,https://purepharmacy.com/,contact@purepharmacy.com
PURE INTEGRATIVE PHARMACY #10,Vancouver,(604) 732-3010,https://purepharmacy.com/,contact@purepharmacy.com
PURE INTEGRATIVE PHARMACY #17,West Vancouver,(604) 281-3393,https://purepharmacy.com/,contact@purepharmacy.com
PURE INTEGRATIVE PHARMACY #18,Vancouver,(604) 731-8535,https://purepharmacy.com/,contact@purepharmacy.com
PURE INTEGRATIVE PHARMACY #19,North Vancouver,(604) 770-3501,https://purepharmacy.com/,contact@purepharmacy.com
